data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,origGenus,origSpecies,Terrestriality (available for mammals only; see panTHERIA metadata),pantheria05Genus,pantheria05Species,pantheria93Genus,pantheria93Species,allPantheriaSynonyms05,pantheriaReferences,binaryName,TRY species number (for plants),genus_species,limit_type
Sally,Carpiodes,cyprinus,Catostomidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,66,fishbase,,omnivore,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carpiodes_cyprinus,max
Sally,Pimephales,promelas,Cyprinidae,Freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,10.1,fishbase,,omnivore,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pimephales_promelas,max
Sally,Cyprinodon,macularius,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,5,fishbase,,NA,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyprinodon_macularius,max
Sally,Floridichthys,carpio,Cyprinodontidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,8,fishbase,,NA,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Floridichthys_carpio,max
Sally,Gambusia,yucatana,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,5.5,fishbase,,NA,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gambusia_yucatana,max
Sally,Poeciliopsis,occidentalis,Poeciliidae,Freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,6,fishbase,,NA,fishbase,N,NA,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poeciliopsis_occidentalis,"max, min"
Sally,Hypomesus,nipponensis,Osmeridae,Freshwater,Animalia,Chordata,Actinopterygii,Osmeriformes,17,fishbase,,NA,fishbase,Y,anadromous,NA,NA,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,pelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hypomesus_nipponensis,"max, min"
Sally,Lepomis,gibbosus,Centrarchidae,Freshwater,Animalia,Chordata,Actinopterygii,Perciformes,40,fishbase,,carnivore,fishbase,Y,potamodromous,1-10km,freshwater and restricted by temperature,swimming,NA,N,unheard of for fish,,N,unheard of for fish,,N,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lepomis_gibbosus,"max, min"
Jenn,Oncorhynchus,tshawytscha,Salmonidae,Freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,150,fishbase,,carnivore,fishbase,yes,Anadromous (Fishbase),NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,benthopelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus_tshawytscha,"max, min"
Jenn,Alosa,pseudoharengus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,40,fishbase,,carnivore,fishbase,yes,Anadromous (Fishbase),NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,pelagic,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alosa_pseudoharengus,"max, min"
Jenn,Cottus,cognatus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,12.1,fishbase,,omnivore,fishbase,no?,Anadromous? (Biology description on Fishbase),NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cottus_cognatus,"max, min"
Jenn,Ameiurus,melas,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,66,fishbase,,omnivore,fishbase,no,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ameiurus_melas,max
Jenn,Ameiurus,natalis,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,60,fishbase,,carnivore,fishbase,no,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ameiurus_natalis,max
